name,url
MC肆（C-SIR）,https://rapzh.com/artists/mc-si-c-sir
大包子Dabozz,https://rapzh.com/artists/da-bao-zi-dabozz
合肥MTS,https://rapzh.com/artists/he-fei-mts
邪恶少年EB,https://rapzh.com/artists/xie-e-shao-nian-eb
双笙,https://rapzh.com/artists/shuang-sheng
老船长OC,https://rapzh.com/artists/lao-chuan-chang-oc
宋睡觉,https://rapzh.com/artists/song-shui-jue
刘帅,https://rapzh.com/artists/liu-shuai
茶米,https://rapzh.com/artists/cha-mi
爆音BOOM,https://rapzh.com/artists/bao-yin-boom
爽子,https://rapzh.com/artists/shuang-zi
隐藏,https://rapzh.com/artists/yin-cang
宋岳庭,https://rapzh.com/artists/song-yue-ting
李大奔_,https://rapzh.com/artists/li-da-ben--
玺臣,https://rapzh.com/artists/xi-chen
陈彦希REGI,https://rapzh.com/artists/chen-yan-xi-regi
夜叉,https://rapzh.com/artists/ye-cha
陈梓童,https://rapzh.com/artists/chen-zi-tong
蛋堡,https://rapzh.com/artists/soft-lipa
蜜妞miko,https://rapzh.com/artists/mi-niu-miko
黄立行,https://rapzh.com/artists/huang-li-hang
喷嘭乐团,https://rapzh.com/artists/pen-peng-le-tuan
未来星B3Rich,https://rapzh.com/artists/wei-lai-xing-b3rich
野三七,https://rapzh.com/artists/ye-san-qi
MusicLoop扭蛋音乐,https://rapzh.com/artists/musicloop-niu-dan-yin-le
饶社,https://rapzh.com/artists/rao-she
situasian张太郎,https://rapzh.com/artists/situasian-zhang-tai-lang
澡堂帮 ZaoTangClan,https://rapzh.com/artists/zao-tang-clan
伍嘉成,https://rapzh.com/artists/wu-jia-cheng
B.C.W.懒领阶级,https://rapzh.com/artists/b-c-w-lan-ling-jie-ji
怪兽男孩Young-Bj,https://rapzh.com/artists/guai-shou-nan-hai-young-bj
Bigdog王可,https://rapzh.com/artists/bigdog-wang-ke
李岩恒,https://rapzh.com/artists/li-yan-heng
卡姆路,https://rapzh.com/artists/qia-mu-lu
Odd Couple怪鸳鸯,https://rapzh.com/artists/odd-couple-guai-yuan-yang
莫安琪Angel Mo,https://rapzh.com/artists/mo-an-qi-angel-mo
血男孩,https://rapzh.com/artists/xie-nan-hai
咸蛋,https://rapzh.com/artists/xian-dan
安大魂,https://rapzh.com/artists/an-da-hun
Young Gee（小马）,https://rapzh.com/artists/young-gee-xiao-ma
BADSIR说唱,https://rapzh.com/artists/badsir-shuo-chang
阿克江Akin,https://rapzh.com/artists/a-ke-jiang-akin
精气神制作,https://rapzh.com/artists/jing-qi-shen-zhi-zuo
讲者,https://rapzh.com/artists/jiang-zhe
孙八一,https://rapzh.com/artists/sun-ba-yi
王天放FrankiD,https://rapzh.com/artists/wang-tian-fang-frankid
龙门阵,https://rapzh.com/artists/long-men-zhen
许志安,https://rapzh.com/artists/andy-hui
银临,https://rapzh.com/artists/yin-lin
杨晓川,https://rapzh.com/artists/yang-xiao-chuan
